"rna id"	"ratio to 16SrRNA"
"alaX-tRNA"	0.078
"valV-tRNA"	0.0333
"trpT-tRNA"	0.0333
"metY-tRNA"	0.0333
"glyV-tRNA"	0.035
"cysT-tRNA"	0.12
"ileX-tRNA"	0.065
"glyU-tRNA"	0.1333
"argX-tRNA"	0.1333
"metW-tRNA"	0.1333
"lysV-tRNA"	0.035
"leuU-tRNA"	0.035
"thrT-tRNA"	0.1225
"gltV-tRNA"	0.07
"alaV-tRNA"	0.1225
"argV-tRNA"	0.04
"alaW-tRNA"	0.04
"leuV-tRNA"	0.1225
"serU-tRNA"	0.1225
"leuZ-tRNA"	0.035
"leuW-tRNA"	0.035
"glyX-tRNA"	0.035
"hisR-tRNA"	0.0967
"glyY-tRNA"	0.0967
"RNA0-300"	0.0967
"serV-tRNA"	0.14
"glyW-tRNA"	0.04
"glnU-tRNA"	0.06
"glnX-tRNA"	0.04
"lysT-tRNA"	0.06
"argY-tRNA"	0.14
"tyrT-tRNA"	0.14
"tyrU-tRNA"	0.14
"valY-tRNA"	0.14
"proK-tRNA"	0.11
"argQ-tRNA"	0.11
"leuQ-tRNA"	0.12
"proM-tRNA"	0.12
"gltW-tRNA"	0.12
"glnW-tRNA"	0.12
"valT-tRNA"	0.08
"asnV-tRNA"	0.08
"glnV-tRNA"	0.08
"pheU-tRNA"	0.08
"thrW-tRNA"	0.12
"ileV-tRNA"	0.105
"proL-tRNA"	0.105
"gltU-tRNA"	0.105
"argW-tRNA"	0.11
"metZ-tRNA"	0.105
"gltT-tRNA"	0.06
"metT-tRNA"	0.18
"thrU-tRNA"	0.07
"alaT-tRNA"	0.0333
"argZ-tRNA"	0.0333
"aspT-tRNA"	0.0333
"serX-tRNA"	0.045
"leuX-tRNA"	0.045
"alaU-tRNA"	0.065
"aspU-tRNA"	0.065
"asnT-tRNA"	0.065
"lysW-tRNA"	0.05
"RNA0-306"	0.05
"RNA0-305"	0.05
"RNA0-304"	0.07
"RNA0-303"	0.05
"RNA0-302"	0.02
"RNA0-301"	0.14
"leuT-tRNA"	0.03
"metU-tRNA"	0.11
"asnU-tRNA"	0.04
"valU-tRNA"	0.04
"valX-tRNA"	0.11
"argU-tRNA"	0.13
"serW-tRNA"	0.01
"valW-tRNA"	0.06
"selC-tRNA"	0.1
"glyT-tRNA"	0.04
"aspV-tRNA"	0.1
"serT-tRNA"	0.04
"ileT-tRNA"	0.078
"pheV-tRNA"	0.078
"tyrV-tRNA"	0.08
"ileU-tRNA"	0.05
"leuP-tRNA"	0.078
"thrV-tRNA"	0.078
