rna id	ratio to 16SrRNA at 0.4 hr^-1	ratio to 16SrRNA at 0.7 hr^-1	ratio to 16SrRNA at 1.07 hr^-1	ratio to 16SrRNA at 1.6 hr^-1	ratio to 16SrRNA at 2.5 hr^-1
alaX-tRNA	0.154	0.11	0.072	0.096	0.078
valV-tRNA	0.0633	0.0517	0.04	0.0367	0.0333
trpT-tRNA	0.0633	0.0517	0.04	0.0367	0.0333
metY-tRNA	0.0633	0.0517	0.04	0.0367	0.0333
glyV-tRNA	0.06	0.045	0.035	0.0375	0.035
cysT-tRNA	0.1725	0.135	0.11	0.12	0.12
ileX-tRNA	0.095	0.08	0.0675	0.0625	0.065
glyU-tRNA	0.2167	0.18	0.1533	0.1467	0.1333
argX-tRNA	0.2167	0.18	0.1533	0.1467	0.1333
metW-tRNA	0.2167	0.18	0.1533	0.1467	0.1333
lysV-tRNA	0.06	0.05	0.04	0.04	0.035
leuU-tRNA	0.06	0.05	0.04	0.04	0.035
thrT-tRNA	0.2375	0.1675	0.125	0.15	0.1225
gltV-tRNA	0.17	0.11	0.09	0.08	0.07
alaV-tRNA	0.2375	0.1675	0.125	0.15	0.1225
argV-tRNA	0.08	0.07	0.05	0.06	0.04
alaW-tRNA	0.13	0.12	0.05	0.06	0.04
leuV-tRNA	0.2375	0.1675	0.125	0.15	0.1225
serU-tRNA	0.2375	0.1675	0.125	0.15	0.1225
leuZ-tRNA	0.06	0.045	0.035	0.0375	0.035
leuW-tRNA	0.06	0.045	0.035	0.0375	0.035
glyX-tRNA	0.06	0.045	0.035	0.0375	0.035
hisR-tRNA	0.16	0.1233	0.09	0.1	0.0967
glyY-tRNA	0.16	0.1233	0.09	0.1	0.0967
RNA0-300	0.16	0.1233	0.09	0.1	0.0967
serV-tRNA	0.32	0.22	0.17	0.18	0.14
glyW-tRNA	0.075	0.06	0.06	0.04	0.04
glnU-tRNA	0.09	0.07	0.055	0.065	0.06
glnX-tRNA	0.075	0.06	0.06	0.04	0.04
lysT-tRNA	0.09	0.07	0.055	0.065	0.06
argY-tRNA	0.235	0.1775	0.135	0.1525	0.14
tyrT-tRNA	0.235	0.1775	0.135	0.1525	0.14
tyrU-tRNA	0.235	0.1775	0.135	0.1525	0.14
valY-tRNA	0.235	0.1775	0.135	0.1525	0.14
proK-tRNA	0.215	0.17	0.13	0.14	0.11
argQ-tRNA	0.215	0.17	0.13	0.14	0.11
leuQ-tRNA	0.2175	0.175	0.1375	0.125	0.12
proM-tRNA	0.2175	0.175	0.1375	0.125	0.12
gltW-tRNA	0.2175	0.175	0.1375	0.125	0.12
glnW-tRNA	0.2175	0.175	0.1375	0.125	0.12
valT-tRNA	0.13	0.1	0.09	0.08	0.08
asnV-tRNA	0.115	0.09	0.0733	0.08	0.08
glnV-tRNA	0.115	0.09	0.0733	0.08	0.08
pheU-tRNA	0.115	0.09	0.0733	0.08	0.08
thrW-tRNA	0.1725	0.135	0.11	0.12	0.12
ileV-tRNA	0.2225	0.17	0.1375	0.135	0.105
proL-tRNA	0.2225	0.17	0.1375	0.135	0.105
gltU-tRNA	0.2225	0.17	0.1375	0.135	0.105
argW-tRNA	0.19	0.16	0.13	0.12	0.11
metZ-tRNA	0.2225	0.17	0.1375	0.135	0.105
gltT-tRNA	0.13	0.11	0.09	0.08	0.06
metT-tRNA	0.38	0.29	0.23	0.24	0.18
thrU-tRNA	0.23	0.16	0.13	0.09	0.07
alaT-tRNA	0.0633	0.0517	0.04	0.0367	0.0333
argZ-tRNA	0.0633	0.0517	0.04	0.0367	0.0333
aspT-tRNA	0.0633	0.0517	0.04	0.0367	0.0333
serX-tRNA	0.07	0.06	0.045	0.05	0.045
leuX-tRNA	0.07	0.06	0.045	0.05	0.045
alaU-tRNA	0.095	0.08	0.0675	0.0625	0.065
aspU-tRNA	0.095	0.08	0.0675	0.0625	0.065
asnT-tRNA	0.095	0.08	0.0675	0.0625	0.065
lysW-tRNA	0.105	0.085	0.07	0.06	0.05
RNA0-306	0.105	0.085	0.07	0.06	0.05
RNA0-305	0.18	0.11	0.11	0.07	0.05
RNA0-304	0.14	0.12	0.07	0.1	0.07
RNA0-303	0.12	0.09	0.07	0.06	0.05
RNA0-302	0.04	0.04	0.03	0.03	0.02
RNA0-301	0.26	0.25	0.18	0.17	0.14
leuT-tRNA	0.07	0.05	0.04	0.03	0.03
metU-tRNA	0.28	0.2	0.15	0.14	0.11
asnU-tRNA	0.075	0.06	0.045	0.045	0.04
valU-tRNA	0.075	0.06	0.045	0.045	0.04
valX-tRNA	0.22	0.17	0.13	0.12	0.11
argU-tRNA	0.18	0.14	0.11	0.12	0.13
serW-tRNA	0.02	0.02	0.02	0.01	0.01
valW-tRNA	0.11	0.09	0.07	0.07	0.06
selC-tRNA	0.19	0.13	0.11	0.1	0.1
glyT-tRNA	0.075	0.055	0.045	0.06	0.04
aspV-tRNA	0.25	0.18	0.12	0.13	0.1
serT-tRNA	0.075	0.055	0.045	0.06	0.04
ileT-tRNA	0.154	0.11	0.072	0.096	0.078
pheV-tRNA	0.154	0.11	0.072	0.096	0.078
tyrV-tRNA	0.13	0.11	0.09	0.09	0.08
ileU-tRNA	0.13	0.09	0.08	0.07	0.05
leuP-tRNA	0.154	0.11	0.072	0.096	0.078
thrV-tRNA	0.154	0.11	0.072	0.096	0.078
