"rna id"	"ratio to 16SrRNA"
"alaX-tRNA"	0.096
"valV-tRNA"	0.0367
"trpT-tRNA"	0.0367
"metY-tRNA"	0.0367
"glyV-tRNA"	0.0375
"cysT-tRNA"	0.12
"ileX-tRNA"	0.0625
"glyU-tRNA"	0.1467
"argX-tRNA"	0.1467
"metW-tRNA"	0.1467
"lysV-tRNA"	0.04
"leuU-tRNA"	0.04
"thrT-tRNA"	0.15
"gltV-tRNA"	0.08
"alaV-tRNA"	0.15
"argV-tRNA"	0.06
"alaW-tRNA"	0.06
"leuV-tRNA"	0.15
"serU-tRNA"	0.15
"leuZ-tRNA"	0.0375
"leuW-tRNA"	0.0375
"glyX-tRNA"	0.0375
"hisR-tRNA"	0.1
"glyY-tRNA"	0.1
"RNA0-300"	0.1
"serV-tRNA"	0.18
"glyW-tRNA"	0.04
"glnU-tRNA"	0.065
"glnX-tRNA"	0.04
"lysT-tRNA"	0.065
"argY-tRNA"	0.1525
"tyrT-tRNA"	0.1525
"tyrU-tRNA"	0.1525
"valY-tRNA"	0.1525
"proK-tRNA"	0.14
"argQ-tRNA"	0.14
"leuQ-tRNA"	0.125
"proM-tRNA"	0.125
"gltW-tRNA"	0.125
"glnW-tRNA"	0.125
"valT-tRNA"	0.08
"asnV-tRNA"	0.08
"glnV-tRNA"	0.08
"pheU-tRNA"	0.08
"thrW-tRNA"	0.12
"ileV-tRNA"	0.135
"proL-tRNA"	0.135
"gltU-tRNA"	0.135
"argW-tRNA"	0.12
"metZ-tRNA"	0.135
"gltT-tRNA"	0.08
"metT-tRNA"	0.24
"thrU-tRNA"	0.09
"alaT-tRNA"	0.0367
"argZ-tRNA"	0.0367
"aspT-tRNA"	0.0367
"serX-tRNA"	0.05
"leuX-tRNA"	0.05
"alaU-tRNA"	0.0625
"aspU-tRNA"	0.0625
"asnT-tRNA"	0.0625
"lysW-tRNA"	0.06
"RNA0-306"	0.06
"RNA0-305"	0.07
"RNA0-304"	0.1
"RNA0-303"	0.06
"RNA0-302"	0.03
"RNA0-301"	0.17
"leuT-tRNA"	0.03
"metU-tRNA"	0.14
"asnU-tRNA"	0.045
"valU-tRNA"	0.045
"valX-tRNA"	0.12
"argU-tRNA"	0.12
"serW-tRNA"	0.01
"valW-tRNA"	0.07
"selC-tRNA"	0.1
"glyT-tRNA"	0.06
"aspV-tRNA"	0.13
"serT-tRNA"	0.06
"ileT-tRNA"	0.096
"pheV-tRNA"	0.096
"tyrV-tRNA"	0.09
"ileU-tRNA"	0.07
"leuP-tRNA"	0.096
"thrV-tRNA"	0.096
