"rna id"	"ratio to 16SrRNA"
"alaX-tRNA"	0.154
"valV-tRNA"	0.0633
"trpT-tRNA"	0.0633
"metY-tRNA"	0.0633
"glyV-tRNA"	0.06
"cysT-tRNA"	0.1725
"ileX-tRNA"	0.095
"glyU-tRNA"	0.2167
"argX-tRNA"	0.2167
"metW-tRNA"	0.2167
"lysV-tRNA"	0.06
"leuU-tRNA"	0.06
"thrT-tRNA"	0.2375
"gltV-tRNA"	0.17
"alaV-tRNA"	0.2375
"argV-tRNA"	0.08
"alaW-tRNA"	0.13
"leuV-tRNA"	0.2375
"serU-tRNA"	0.2375
"leuZ-tRNA"	0.06
"leuW-tRNA"	0.06
"glyX-tRNA"	0.06
"hisR-tRNA"	0.16
"glyY-tRNA"	0.16
"RNA0-300"	0.16
"serV-tRNA"	0.32
"glyW-tRNA"	0.075
"glnU-tRNA"	0.09
"glnX-tRNA"	0.075
"lysT-tRNA"	0.09
"argY-tRNA"	0.235
"tyrT-tRNA"	0.235
"tyrU-tRNA"	0.235
"valY-tRNA"	0.235
"proK-tRNA"	0.215
"argQ-tRNA"	0.215
"leuQ-tRNA"	0.2175
"proM-tRNA"	0.2175
"gltW-tRNA"	0.2175
"glnW-tRNA"	0.2175
"valT-tRNA"	0.13
"asnV-tRNA"	0.115
"glnV-tRNA"	0.115
"pheU-tRNA"	0.115
"thrW-tRNA"	0.1725
"ileV-tRNA"	0.2225
"proL-tRNA"	0.2225
"gltU-tRNA"	0.2225
"argW-tRNA"	0.19
"metZ-tRNA"	0.2225
"gltT-tRNA"	0.13
"metT-tRNA"	0.38
"thrU-tRNA"	0.23
"alaT-tRNA"	0.0633
"argZ-tRNA"	0.0633
"aspT-tRNA"	0.0633
"serX-tRNA"	0.07
"leuX-tRNA"	0.07
"alaU-tRNA"	0.095
"aspU-tRNA"	0.095
"asnT-tRNA"	0.095
"lysW-tRNA"	0.105
"RNA0-306"	0.105
"RNA0-305"	0.18
"RNA0-304"	0.14
"RNA0-303"	0.12
"RNA0-302"	0.04
"RNA0-301"	0.26
"leuT-tRNA"	0.07
"metU-tRNA"	0.28
"asnU-tRNA"	0.075
"valU-tRNA"	0.075
"valX-tRNA"	0.22
"argU-tRNA"	0.18
"serW-tRNA"	0.02
"valW-tRNA"	0.11
"selC-tRNA"	0.19
"glyT-tRNA"	0.075
"aspV-tRNA"	0.25
"serT-tRNA"	0.075
"ileT-tRNA"	0.154
"pheV-tRNA"	0.154
"tyrV-tRNA"	0.13
"ileU-tRNA"	0.13
"leuP-tRNA"	0.154
"thrV-tRNA"	0.154
