Transcription Units from All genes of E. coli K-12 substr. MG1655	Matches	Sequence - coordinates of DNA region	Sequence - length of region	Direction
aaeR	aaeR	[aaeR 3,389,520 &rarr; 3,390,449]	930	+
aaeXAB	aaeA // aaeB // aaeX	[aaeXAB 3,386,221 &larr; 3,389,337]	3117	-
aas // lplT	lplT // aas	[TU0-13751 2,972,669 &larr; 2,976,014]	3346	-
aat	aat	[TU0-13077 926,728 &larr; 927,432]	705	-
abgA // abgB // abgT // ogt	ogt // abgA // abgB // abgT	[TU0-13222 1,399,721 &larr; 1,404,565]	4845	-
abgR	abgR	[abgR 1,404,741 &rarr; 1,405,649]	909	+
abpA // abpB	abpB // abpA	[TU0-13692 2,761,351 &larr; 2,765,153]	3803	-
abrB	abrB	[TU0-13031 746,723 &larr; 747,769]	1047	-
accA	accA	[accA 208,621 &rarr; 209,580]	960	+
accA	accA	[accA 208,621 &rarr; 209,580]	960	+
accBC	accC // accB	[accBC 3,405,436 &rarr; 3,407,266]	1831	+
accBC	accC // accB	[accBC 3,405,436 &rarr; 3,407,266]	1831	+
accD	accD	[accD 2,433,012 &larr; 2,433,926]	915	-
aceBAK	aceB // aceA // aceK	[aceBAK 4,215,478 &rarr; 4,220,332]	4855	+
aceEF	aceF // aceE	[aceEF 123,017 &rarr; 127,587]	4571	+
aceK	aceK	[aceK 4,218,596 &rarr; 4,220,332]	1737	+
ackA	ackA	[ackA 2,413,470 &rarr; 2,414,672]	1203	+
ackA-pta	pta // ackA	[ackA-pta 2,413,470 &rarr; 2,416,891]	3422	+
acnA	acnA	[acnA 1,335,831 &rarr; 1,338,506]	2676	+
acnA	acnA	[acnA 1,335,831 &rarr; 1,338,506]	2676	+
acnA	acnA // ymiC	[acnA 1,335,572 &rarr; 1,338,506]	2935	+
acnB	acnB	[acnB 131,615 &rarr; 134,212]	2598	+
acnB	acnB	[acnB 131,615 &rarr; 134,212]	2598	+
acpH	acpH	[acpH 424,337 &larr; 424,918]	582	-
acpP	acpP	[acpP 1,151,615 &rarr; 1,151,851]	237	+
acpP-fabF	fabF // acpP	[acpP-fabF 1,151,615 &rarr; 1,153,180]	1566	+
acpT	acpT	[TU0-13947 3,612,969 &rarr; 3,613,556]	588	+
acrAB	acrB // acrA	[acrAB 481,254 &larr; 485,619]	4366	-
acrB	acrB	[acrB 481,254 &larr; 484,403]	3150	-
acrD	acrD	[acrD 2,587,595 &rarr; 2,590,708]	3114	+
acrD	acrD	[acrD 2,587,595 &rarr; 2,590,708]	3114	+
acrEF	acrF // acrE	[acrEF 3,413,864 &rarr; 3,418,137]	4274	+
acrR	acrR	[acrR 485,761 &rarr; 486,408]	648	+
acrZ	acrZ	[acrZ 794,773 &rarr; 794,922]	150	+
acs-yjcHG	yjcH // acs // actP	[acs-yjcHG 4,283,253 &larr; 4,287,371]	4119	-
acs-yjcHG	yjcH // acs // actP	[acs-yjcHG 4,283,253 &larr; 4,287,371]	4119	-
actP	actP	[actP 4,283,253 &larr; 4,284,902]	1650	-
ada-alkB	alkB // ada	[ada-alkB 2,308,691 &larr; 2,310,405]	1715	-
add	add	[add 1,702,233 &rarr; 1,703,234]	1002	+
ade	adeD	[ade 3,843,964 &rarr; 3,845,730]	1767	+
adeQ	adeQ	[TU0-14012 3,842,455 &larr; 3,843,789]	1335	-
adhE	adhE	[adhE 1,295,446 &larr; 1,298,121]	2676	-
adhE	adhE	[adhE 1,295,446 &larr; 1,298,121]	2676	-
adhP	adhP	[TU0-13286 1,552,828 &larr; 1,553,838]	1011	-
adiA	adiA	[adiA 4,338,254 &larr; 4,340,521]	2268	-
adiC	adiC	[adiC 4,335,694 &larr; 4,337,031]	1338	-
adiY	adiY	[adiY 4,337,168 &larr; 4,337,929]	762	-
adk	adk	[adk 497,175 &rarr; 497,819]	645	+
adrA	dgcC	[adrA 403,703 &rarr; 404,818]	1116	+
aegA	aegA	[TU0-13640 2,583,546 &larr; 2,585,525]	1980	-
aer	aer	[aer 3,217,556 &larr; 3,219,076]	1521	-
aes	aes	[aes 499,014 &larr; 499,973]	960	-
agaR	agaR	[agaR 3,277,856 &larr; 3,278,665]	810	-
agaSYBCDI	kbaY // agaC // agaD // agaB // agaI // agaS	[agaSYBCDI 3,281,976 &rarr; 3,287,025]	5050	+
agp	agp	[agp 1,065,585 &rarr; 1,066,826]	1242	+
agrA	agrA	[agrA 3,648,063 &rarr; 3,648,146]	84	+
agrB	agrB	[agrB 3,648,294 &rarr; 3,648,377]	84	+
ahpCF	ahpC // ahpF	[ahpCF 638,945 &rarr; 641,318]	2374	+
ahpCF	ahpC // ahpF	[ahpCF 638,945 &rarr; 641,318]	2374	+
ahpF	ahpF	[ahpF 639,753 &rarr; 641,318]	1566	+
aidB	aidB	[aidB 4,414,275 &rarr; 4,415,900]	1626	+
ais	ais	[ais 2,365,018 &larr; 2,365,620]	603	-
alaA	alaA	[alaA 2,407,561 &rarr; 2,408,778]	1218	+
alaA-yfbR	alaA // yfbR	[alaA-yfbR 2,407,561 &rarr; 2,409,461]	1901	+
alaC	alaC	[alaC 2,497,057 &larr; 2,498,295]	1239	-
alaE	alaE	[alaE 2,799,164 &rarr; 2,799,613]	450	+
alaS	alaS	[alaS 2,819,381 &larr; 2,822,011]	2631	-
alaWX	alaX // alaW	[alaWX 2,518,041 &larr; 2,518,231]	191	-
aldA	aldA	[aldA 1,488,232 &rarr; 1,489,671]	1440	+
aldB	aldB	[aldB 3,754,973 &larr; 3,756,511]	1539	-
alkA	alkA	[alkA 2,146,692 &larr; 2,147,540]	849	-
alkB	alkB	[alkB 2,308,691 &larr; 2,309,341]	651	-
allA	allA	[allA 532,451 &rarr; 532,933]	483	+
allB	allB	[allB 539,147 &rarr; 540,508]	1362	+
allB	allB	[allB 539,147 &rarr; 540,508]	1362	+
allB	allB	[allB 539,147 &rarr; 540,508]	1362	+
allDC-ylbA	allC // allE // allD	[allDC-ylbA 543,261 &larr; 546,363]	3103	-
allR	allR	[allR 533,011 &rarr; 533,826]	816	+
allS	allS	[allS 531,295 &larr; 532,221]	927	-
alpA	alpA	[TU0-13689 2,758,644 &rarr; 2,758,856]	213	+
alr	alr	[alr 4,265,782 &rarr; 4,266,861]	1080	+
alr	alr	[alr 4,265,782 &rarr; 4,266,861]	1080	+
alsBACE	alsE // alsA // alsB // alsC	[alsBACE 4,307,783 &larr; 4,312,042]	4260	-
alsK	alsK	[alsK 4,306,870 &larr; 4,307,799]	930	-
alsRBACE	alsE // alsR // alsA // alsB // alsC	[alsRBACE 4,307,783 &larr; 4,312,991]	5209	-
alsRBACE	alsE // alsR // alsA // alsB // alsC	[alsRBACE 4,307,783 &larr; 4,312,991]	5209	-
alx	alx	[alx 3,238,580 &rarr; 3,239,545]	966	+
amiA-hemF	hemF // amiA	[amiA-hemF 2,552,352 &rarr; 2,554,124]	1773	+
amiC	amiC	[amiC 2,947,757 &larr; 2,949,010]	1254	-
amn	amn	[amn 2,055,061 &rarr; 2,056,515]	1455	+
ampC	ampC	[ampC 4,377,811 &larr; 4,378,944]	1134	-
ampDE	ampD // ampE	[ampDE 118,733 &rarr; 120,135]	1403	+
ampG	ampG	[TU0-12926 452,070 &larr; 453,545]	1476	-
ampH	ampH	[ampH 395,130 &larr; 396,287]	1158	-
ampH	ampH	[ampH 395,130 &larr; 396,287]	1158	-
amyA	amyA	[amyA 2,006,156 &rarr; 2,007,643]	1488	+
anmK	anmK	[TU0-13355 1,718,493 &larr; 1,719,602]	1110	-
ansA-pncA	ansA // pncA	[ansA-pncA 1,850,860 &rarr; 1,852,528]	1669	+
ansB	ansB	[ansB 3,099,682 &larr; 3,100,728]	1047	-
ansB	ansB	[ansB 3,099,682 &larr; 3,100,728]	1047	-
ansP	ansP	[ansP 1,524,481 &larr; 1,525,980]	1500	-
ansP	ansP	[ansP 1,524,481 &larr; 1,525,980]	1500	-
apaGH	apaH // apaG	[apaGH 50,380 &larr; 51,606]	1227	-
aphA	aphA	[TU0-14121 4,269,414 &rarr; 4,270,127]	714	+
appA	appA	[appA 1,040,617 &rarr; 1,041,915]	1299	+
appCBA-yccB	appA // appC // appB // appX	[appCBA-yccB 1,037,740 &rarr; 1,041,915]	4176	+
appY	appY	[appY 583,681 &rarr; 584,430]	750	+
appY	appY	[appY 583,681 &rarr; 584,430]	750	+
appY	appY	[appY 583,681 &rarr; 584,430]	750	+
apt	apt	[apt 491,412 &rarr; 491,963]	552	+
aqpZ	aqpZ	[aqpZ 915,352 &larr; 916,047]	696	-
araBAD	araB // araA // araD	[araBAD 65,855 &larr; 70,048]	4194	-
araC	araC	[araC 70,387 &rarr; 71,265]	879	+
araE	araE	[araE 2,980,764 &larr; 2,982,182]	1419	-
araE-ygeA	ygeA // araE	[araE-ygeA 2,979,943 &larr; 2,982,182]	2240	-
araFGH	araF // araH // araG	[araFGH 1,982,554 &larr; 1,986,128]	3575	-
araFGH	araF // araH // araG	[araFGH 1,982,554 &larr; 1,986,128]	3575	-
araJ	araJ	[araJ 411,297 &larr; 412,481]	1185	-
arcA	arcA	[arcA 4,639,590 &larr; 4,640,306]	717	-
arcA	arcA	[arcA 4,639,590 &larr; 4,640,306]	717	-
arcA	arcA	[arcA 4,639,590 &larr; 4,640,306]	717	-
arcA	arcA	[arcA 4,639,590 &larr; 4,640,306]	717	-
arcA	arcA	[arcA 4,639,590 &larr; 4,640,306]	717	-
arcA	arcA	[arcA 4,639,590 &larr; 4,640,306]	717	-
arcA	arcA	[arcA 4,639,590 &larr; 4,640,306]	717	-
arcB	arcB	[arcB 3,350,689 &larr; 3,353,025]	2337	-
arcZ	arcZ	[arcZ 3,350,577 &rarr; 3,350,697]	121	+
arfA	arfA	[arfA 3,438,431 &larr; 3,438,649]	219	-
argA	argA	[argA 2,949,242 &rarr; 2,950,573]	1332	+
argCBH	argB // argC // argH	[argCBH 4,155,001 &rarr; 4,158,223]	3223	+
argD	argD	[argD 3,488,960 &larr; 3,490,180]	1221	-
argE	argE	[argE 4,153,696 &larr; 4,154,847]	1152	-
argE	argE	[argE 4,153,696 &larr; 4,154,847]	1152	-
argF	argF	[argF 289,301 &larr; 290,305]	1005	-
argG	argG	[argG 3,318,637 &rarr; 3,319,980]	1344	+
argH	argH	[argH 4,156,850 &rarr; 4,158,223]	1374	+
argI	argI	[argI 4,477,307 &larr; 4,478,311]	1005	-
argO	argO	[argO 3,068,173 &larr; 3,068,808]	636	-
argP	argP	[argP 3,059,753 &rarr; 3,060,646]	894	+
argQ	argQ	[argQ 2,817,784 &larr; 2,817,860]	77	-
argR	argR	[argR 3,384,703 &rarr; 3,385,173]	471	+
argR	argR	[argR 3,384,703 &rarr; 3,385,173]	471	+
argS	argS	[argS 1,960,062 &rarr; 1,961,795]	1734	+
argT-hisJQMP	hisP // hisQ // hisM // hisJ // argT	[argT-hisJQMP 2,423,736 &larr; 2,427,791]	4056	-
argU	argU	[argU 564,723 &rarr; 564,799]	77	+
argW	argW	[argW 2,466,309 &rarr; 2,466,383]	75	+
