Protein ID,Rate Constant
1-PFK-MONOMER,1.6045073624072808e-05
2-ISOPROPYLMALATESYN-MONOMER,5.185122535607011e-05
2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER,4.118521571954518e-05
2-OCTAPRENYLPHENOL-HYDROX-MONOMER,1.6045073624072808e-05
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER,1.6045073624072808e-05
3-ISOPROPYLMALDEHYDROG-MONOMER,3.8076641428254525e-05
3-OXOACYL-ACP-REDUCT-MONOMER,1.6045073624072808e-05
3-OXOACYL-ACP-SYNTHII-MONOMER,1.6045073624072808e-05
4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER,0.00015101245763833232
6PFK-1-MONOMER,3.3035324590598856e-05
6PFK-2-MONOMER,1.7974876317616963e-05
6PGLUCONDEHYDROG-MONOMER,3.2903597292316775e-05
6PGLUCONOLACT-MONOMER,1.740351462689428e-05
7-ALPHA-HYDROXYSTEROID-DEH-MONOMER,3.495447204034015e-05
7KAPSYN-MONOMER,3.729003553690259e-05
AAS-MONOMER,1.6045073624072808e-05
ABC-MONOMER,3.342723671681835e-05
ACETATEKINA-MONOMER,1.6045073624072808e-05
ACETOLACTSYNIII-HCHAIN-MONOMER,3.2459828629762356e-05
ACETOLACTSYNIII-ICHAIN-MONOMER,1.7390415488984527e-05
ACETYLGLUTKIN-MONOMER,3.7098436125023834e-05
ACETYLORNDEACET-MONOMER,3.5242382578805433e-05
ACETYLORNTRANSAM-MONOMER,2.0973952449768378e-05
ACNEULY-MONOMER,5.060207187618231e-05
ACONITASE-MONOMER,3.522089332113543e-05
ACONITATEDEHYDRB-MONOMER,4.0864708204217974e-05
ACRB-MONOMER,1.6045073624072808e-05
ACRD-MONOMER,1.6067389442743286e-05
ACS-MONOMER,3.925400275002522e-05
ACSERLYA-MONOMER,1.6310112959667405e-05
ACSERLYB-MONOMER,1.8802820653210322e-05
ACYLCOADEHYDROG-MONOMER,0.00013433084894572583
ACYLCOASYN-MONOMER,4.839737331098627e-05
ADCLY-MONOMER,3.449523144022819e-05
ADENODEAMIN-MONOMER,1.8184248401278802e-05
ADENPRIBOSYLTRAN-MONOMER,4.208543901396146e-05
ADENYL-KIN-MONOMER,1.7059145022640907e-05
ADENYLOSUCCINATE-SYN-MONOMER,3.2838126803105233e-05
ADENYLYLSULFKIN-MONOMER,4.015451167651172e-05
ADHC-MONOMER,3.281946877651256e-05
ADHE-MONOMER,3.726597744945943e-05
AERGLYC3PDEHYDROG-MONOMER,5.477692275643633e-05
AGAB-MONOMER,3.801399476581909e-05
AGMATIN-MONOMER,1.6291712042493896e-05
AICARTRANSIMPCYCLO-CPLX,3.277291633853169e-05
