,gene_name,cistron_name,monomer_name,max_mRNA_count_basal,max_protein_count_basal,prob_monomer_expressed_basal,expression_status_basal,log2_max_mRNA_basal,log2_max_Protein_basal,log2_max_mRNA_1_basal,log2_max_Protein_1_basal,mean_mRNA_count_basal,mean_protein_count_basal,log2_mean_mRNA_1_basal,log2_mean_Protein_1_basal,mean_mRNA_count_min_aa,mean_protein_count_min_aa,prob_monomer_expressed_min_aa,expression_status_min_aa,mean_mRNA_count_acetate,mean_protein_count_acetate,prob_monomer_expressed_acetate,expression_status_acetate
0,EG11377,EG11377_RNA,1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER[i],5,441,1.0,always_expressed,2.321928094887362,8.784634845557521,2.584962500721156,8.787902559391432,0.4494227236945683,152.92326048253076,0.5354784178321995,7.266067454235427,0.6990471024730467,199.0377751241351,1.0,always_expressed,0.0226526440417718,26.75999667008908,1.0,always_expressed
1,EG10337,EG10337_RNA,1-PFK-MONOMER[c],4,612,0.998342724560822,subgen,2.0,9.257387842692651,2.321928094887362,9.259743263690781,0.1391226020884649,82.76877699810679,0.1879230305457271,6.388340705592707,0.2189974626316783,105.50237052960996,0.9974358974358974,subgen,0.0214131771975099,17.04797846657602,0.8571428571428571,subgen
2,G6239,G6239_RNA,2-DEHYDROPANTOATE-REDUCT-MONOMER[c],5,708,1.0,always_expressed,2.321928094887362,9.467605550082997,2.584962500721156,9.469641817239516,0.3879107732850295,196.37938776546667,0.47291482218350417,7.624827527485915,0.5801940440709782,249.3782510475341,1.0,always_expressed,0.0407174108092608,52.09456947026667,1.0,always_expressed
3,EG11226,EG11226_RNA,2-ISOPROPYLMALATESYN-MONOMER[c],34,9323,1.0,always_expressed,5.087462841250339,13.186578551633048,5.129283016944966,13.186733289128867,7.4120337844891555,2961.1433379041428,3.0724546442467116,11.532425738887785,9.198917181263516,3848.598463947929,1.0,always_expressed,0.1654688237089658,203.09852836436625,1.0,always_expressed
4,EG11473,EG11473_RNA,2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER[c],5,1004,1.0,always_expressed,2.321928094887362,9.971543553950772,2.584962500721156,9.972979786066292,0.5752949159620002,332.91959325438813,0.655621945416504,8.38335693804732,0.780086699333923,440.07682674190266,1.0,always_expressed,0.0432518430131994,67.31893146858322,1.0,always_expressed
5,EG11476,EG11476_RNA,2-OCTAPRENYLPHENOL-HYDROX-MONOMER[i],5,187,1.0,always_expressed,2.321928094887362,7.546894459887636,2.584962500721156,7.554588851677638,0.5752949159620002,55.68615467957779,0.655621945416504,5.824924501761022,0.780086699333923,69.16825009619849,1.0,always_expressed,0.0432518430131994,26.084024752337875,1.0,always_expressed
6,EG11675,EG11675_RNA,3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER[c],11,8800,1.0,always_expressed,3.4594316186372973,13.103287808412022,3.584962500721156,13.10345174171609,1.883821027416392,3321.107050050364,1.5279816323766502,11.69788284745318,2.805057129834595,4001.691095640469,1.0,always_expressed,0.1521491800094347,429.7224334249059,1.0,always_expressed
7,EG11577,EG11577_RNA,3-ISOPROPYLMALDEHYDROG-MONOMER[c],34,13281,1.0,always_expressed,5.087462841250339,13.697076158819021,5.129283016944966,13.697184783224516,7.4120337844891555,4383.734707538732,3.0724546442467116,12.098273841654446,9.198917181263516,4780.926020165475,1.0,always_expressed,0.1654688237089658,263.1088140892232,1.0,always_expressed
8,EG11318,EG11318_RNA,3-OXOACYL-ACP-REDUCT-MONOMER[c],30,7803,1.0,always_expressed,4.906890595608519,12.929813184664148,4.954196310386875,12.929998062609027,6.573599907455216,3413.31886756785,2.9209792096067737,11.737382084438647,13.204254600133757,5494.472093918125,1.0,always_expressed,0.7255783407793841,1001.4780457122772,1.0,always_expressed
9,EG12606,EG12606_RNA,3-OXOACYL-ACP-SYNTHII-MONOMER[c],15,3551,1.0,always_expressed,3.9068905956085187,11.79400964502097,4.0,11.794415866350105,3.158432155926675,1361.805441520443,2.056039694900191,10.41236389773062,4.957135940182288,1805.0912061089944,1.0,always_expressed,0.2719334757795228,295.67676739647214,1.0,always_expressed
