"moleculeid"	"concentration (units.mmol / units.L)"
"GLC[p]"	0
"ACET[p]"	0
"FUM[p]"	0
"MAL[p]"	0
"SUC[p]"	0
"OXYGEN-MOLECULE[p]"	NaN
"AMMONIUM[c]"	18.695
"PI[p]"	69.454
"K+[p]"	21.883
"SULFATE[p]"	2
"FE+2[p]"	NaN
"FE+3[p]"	0
"CA+2[p]"	NaN
"CL-[p]"	27.25
"CO+2[p]"	NaN
"MG+2[p]"	2
"MN+2[p]"	NaN
"NI+2[p]"	NaN
"ZN+2[p]"	NaN
"WATER[p]"	NaN
"CARBON-DIOXIDE[p]"	NaN
"CPD0-1958[p]"	NaN
"L-SELENOCYSTEINE[c]"	NaN
"GLC-D-LACTONE[c]"	NaN
"CYTOSINE[c]"	NaN
"CYTIDINE[c]"	0
"ARABINOSE[c]"	0
"CPD-183[p]"	0
"INDOLE[p]"	0
"NITRATE[p]"	0
"NITRITE[p]"	0
"S-ADENOSYLMETHIONINE[c]"	0
"CPD-520[p]"	0
"TUNGSTATE[p]"	0
"L-ALPHA-ALANINE[p]"	0
"ARG[p]"	0
"ASN[p]"	0
"L-ASPARTATE[p]"	0
"CYS[p]"	0
"GLT[p]"	0
"GLN[p]"	0
"GLY[p]"	0
"HIS[p]"	0
"ILE[p]"	0
"LEU[p]"	0
"LYS[p]"	0
"MET[p]"	0
"PHE[p]"	0
"PRO[p]"	0
"SER[p]"	0
"THR[p]"	0
"TRP[p]"	0
"TYR[p]"	0
"VAL[p]"	0
"MI-PENTAKISPHOSPHATE[p]"	0
"HYPOXANTHINE[p]"	0
"CARBON-MONOXIDE[p]"	0
"HYDROGEN-MOLECULE[c]"	0
"CPD0-2167[c]"	0
"CPD-239[p]"	0
"UNDECAPRENYL-DIPHOSPHATE[p]"	0
"GLYCOLLATE[c]"	0
"CPD-10774[p]"	0
"BETAINE[p]"	0
"CPD-10774[c]"	0
"CH33ADO[c]"	0
"URACIL[p]"	0
"METOH[p]"	0
"CPD-1772[c]"	0
"4FE-4S[c]"	NaN
"CPD-560[p]"	0
"CPD-108[p]"	0
"THYMINE[p]"	0
"S-ADENOSYL-4-METHYLTHIO-2-OXOBUTANOATE[c]"	0
"UREA[p]"	0
"FORMATE[p]"	0
"D-ALANINE[p]"	0
"CPD-534[p]"	0
"GLYCEROL[p]"	0
"GLYCOLALDEHYDE[c]"	0
"D-LACTATE[p]"	0
"BUTANAL[c]"	0
"CPD-564[c]"	0
"XANTHINE[p]"	0
"PROTON[p]"	0
"ETOH[p]"	0
