# Generated by /Users/miagrahn/wcEcoli/reconstruction/ecoli/scripts/protein_half_lives/convert_gupta_et_al_Clim_to_flat.py on Mon Aug  5 01:30:45 2024
"id"	"half_life (units.min)"
"1-PFK-MONOMER"	720.0
"2-ISOPROPYLMALATESYN-MONOMER"	222.8
"2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER"	280.5
"2-OCTAPRENYLPHENOL-HYDROX-MONOMER"	720.0
"3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER"	720.0
"3-ISOPROPYLMALDEHYDROG-MONOMER"	303.4
"3-OXOACYL-ACP-REDUCT-MONOMER"	720.0
"3-OXOACYL-ACP-SYNTHII-MONOMER"	720.0
"4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER"	76.5
"6PFK-1-MONOMER"	349.7
"6PFK-2-MONOMER"	642.7
"6PGLUCONDEHYDROG-MONOMER"	351.1
"6PGLUCONOLACT-MONOMER"	663.8
"7-ALPHA-HYDROXYSTEROID-DEH-MONOMER"	330.5
"7KAPSYN-MONOMER"	309.8
"AAS-MONOMER"	720.0
"ABC-MONOMER"	345.6
"ACETATEKINA-MONOMER"	720.0
"ACETOLACTSYNIII-HCHAIN-MONOMER"	355.9
"ACETOLACTSYNIII-ICHAIN-MONOMER"	664.3
"ACETYLGLUTKIN-MONOMER"	311.4
"ACETYLORNDEACET-MONOMER"	327.8
"ACETYLORNTRANSAM-MONOMER"	550.8
"ACNEULY-MONOMER"	228.3
"ACONITASE-MONOMER"	328.0
"ACONITATEDEHYDRB-MONOMER"	282.7
"ACRB-MONOMER"	720.0
"ACRD-MONOMER"	719.0
"ACS-MONOMER"	294.3
"ACSERLYA-MONOMER"	708.3
"ACSERLYB-MONOMER"	614.4
"ACYLCOADEHYDROG-MONOMER"	86.0
"ACYLCOASYN-MONOMER"	238.7
"ADCLY-MONOMER"	334.9
"ADENODEAMIN-MONOMER"	635.3
"ADENPRIBOSYLTRAN-MONOMER"	274.5
"ADENYL-KIN-MONOMER"	677.2
"ADENYLOSUCCINATE-SYN-MONOMER"	351.8
"ADENYLYLSULFKIN-MONOMER"	287.7
"ADHC-MONOMER"	352.0
"ADHE-MONOMER"	310.0
"AERGLYC3PDEHYDROG-MONOMER"	210.9
"AGAB-MONOMER"	303.9
"AGMATIN-MONOMER"	709.1
"AICARTRANSIMPCYCLO-CPLX"	352.5
