"TF"	"geneId"	"oneComponentId"	"twoComponentId"	"nonMetaboliteBindingId"	"activeId"	"_notes"
"nhaR"	"EG11078"	"MONOMER0-46"			"MONOMER0-46"	
"caiF"	"G6088"	"CPLX0-8062"			"CPLX0-8062"	
"araC"	"EG10054"	"CPLX-172, PC00003"			"CPLX-172, PC00003"	"Monomer is an inactive conformation - Dimer and Dimer+metabolite are active"
"sgrR"	"EG12094"			"EG12094-MONOMER"	"EG12094-MONOMER"	
"leuO"	"EG10531"			"PD00519"	"PD00519"	
"cra"	"EG10338"	"PC00061"			"PC00061"	
"pdhR"	"EG11088"	"EG11088-MONOMER"			"EG11088-MONOMER"	
"sfsA"	"EG10949"			"EG10949-MONOMER"	"EG10949-MONOMER"	
"cdaR"	"EG12335"			"EG12335-MONOMER"	"EG12335-MONOMER"	
"yafC"	"EG11649"			"EG11649-MONOMER"	"EG11649-MONOMER"	
"dinJ"	"G6110"			"G6110-MONOMER"	"G6110-MONOMER"	
"crl"	"EG11092"			"EG11092-MONOMER"	"EG11092-MONOMER"	
"perR"	"G6129"			"G6129-MONOMER"	"G6129-MONOMER"	
"yagA"	"EG12338"			"EG12338-MONOMER"	"EG12338-MONOMER"	
"yagI"	"G6144"			"G6144-MONOMER"	"G6144-MONOMER"	
"yagP"	"G6153"			"G6153-MONOMER"	"G6153-MONOMER"	
"ecpR"	"G6165"			"G6165-MONOMER"	"G6165-MONOMER"	
"ykgA"	"G6170"			"G6170-MONOMER"	"G6170-MONOMER"	
"ykgD"	"G6175"			"G6175-MONOMER"	"G6175-MONOMER"	
"betI"	"EG10111"	"PD00251"			"PD00251"	
"yahB"	"G6181"			"G6181-MONOMER"	"G6181-MONOMER"	
"yahD"	"G6183"			"G6183-MONOMER"	"G6183-MONOMER"	
"prpR"	"G6195"	"MONOMER0-2421"			"MONOMER0-2421"	
"cynR"	"EG11421"	"MONOMER0-164"			"MONOMER0-164"	
"lacI"	"EG10525"	"PD00763"			"PD00763"	
"mhpR"	"G6201"	"MONOMER0-1441"			"MONOMER0-1441"	
"frmR"	"G6209"			"G6209-MONOMER"	"G6209-MONOMER"	
"yaiV"	"G6226"			"G6226-MONOMER"	"G6226-MONOMER"	
"yaiW"	"G6227"			"G6227-MONOMER"	"G6227-MONOMER"	
"phoB"	"EG10728"		"PHOSPHO-PHOB"		"PHOSPHO-PHOB"	
"nrdR"	"EG11320"	"CPLX0-8061"			"CPLX0-8061"	
"bolA"	"EG10125"			"EG10125-MONOMER"	"EG10125-MONOMER"	
"hupB"	"EG10467"			"EG10467-MONOMER, CPLX0-2021"	"EG10467-MONOMER, CPLX0-2021"	"subunit and, HU DNA-binding transcriptional dual regulator"
"ybaO"	"G6247"			"G6247-MONOMER"	"G6247-MONOMER"	
"acrR"	"EG12116"	"EG12116-MONOMER"			"EG12116-MONOMER"	
"ybaQ"	"G6259"			"G6259-MONOMER"	"G6259-MONOMER"	
"cueR"	"G6263"	"CPLX0-7708"			"CPLX0-7708"	
"ylbG"	"G6273"			"G6273-MONOMER"	"G6273-MONOMER"	
"allS"	"G6274"	"MONOMER0-2221"			"MONOMER0-2221"	
"allR"	"G6276"	"G6276-MONOMER"			"G6276-MONOMER"	
"fimZ"	"EG11103"			"EG11103-MONOMER"	"EG11103-MONOMER"	
"appY"	"EG10050"			"PD00967"	"PD00967"	
"envY"	"EG10268"			"PD00969"	"PD00969"	
"cusR"	"G6319"		"MONOMER0-4180"		"MONOMER0-4180"	
"ybdO"	"G6332"			"G6332-MONOMER"	"G6332-MONOMER"	
"dpiA"	"G6346"		"PHOSPHO-DPIA"		"PHOSPHO-DPIA"	
"cspE"	"EG12179"			"EG12179-MONOMER"	"EG12179-MONOMER"	
"ybeF"	"EG11594"			"EG11594-MONOMER"	"EG11594-MONOMER"	
"nagC"	"EG10636"	"PD00266"			"PD00266"	
"fur"	"EG10359"	"CPLX0-7639"			"CPLX0-7639"	
"kdpE"	"EG10517"		"CPLX0-7795"		"CPLX0-7795"	
"abrB"	"G6384"			"G6384-MONOMER"	"G6384-MONOMER"	
"mngR"	"EG11109"			"PC00103"	"PC00103"	"Dimer"
"modE"	"G6395"	"CPLX0-6"			"CPLX0-6"	
"ybhD"	"G6398"			"G6398-MONOMER"	"G6398-MONOMER"	
"ybhN"	"G6405"			"G6405-MONOMER"	"G6405-MONOMER"	
"ybiH"	"EG12406"			"EG12406-MONOMER"	"EG12406-MONOMER"	
"mntR"	"G6420"	"CPLX0-7672"			"CPLX0-7672"	
"deoR"	"EG10223"	"PD01196"			"PD01196"	
"ybjK"	"G6444"			"G6444-MONOMER"	"G6444-MONOMER"	
"lrp"	"EG10547"	"MONOMER0-155"			"MONOMER0-155"	
"ycaN"	"G6467"			"G6467-MONOMER"	"G6467-MONOMER"	
"ihfB"	"EG10441"			"PD00348"	"PD00348"	"IhfA+IhfB = IHF"
"torR"	"EG12615"		"PHOSPHO-TORR"		"PHOSPHO-TORR"	
"rutR"	"EG12301"	"PD01352"			"PD01352"	
"csgD"	"G6546"			"PD01379"	"PD01379"	
"flgM"	"G369"			"G369-MONOMER"	"G369-MONOMER"	
"ycfQ"	"G6569"	"G6569-MONOMER"			"G6569-MONOMER"	
"phoP"	"EG10731"		"PHOSPHO-PHOP"		"PHOSPHO-PHOP"	
"ymfT"	"G6590"			"G6590-MONOMER"	"G6590-MONOMER"	
"ymfL"	"G6591"			"G6591-MONOMER"	"G6591-MONOMER"	
"ymfN"	"G6593"			"G6593-MONOMER"	"G6593-MONOMER"	
"bluR"	"G6602"			"G6602-MONOMER"	"G6602-MONOMER"	
"fadR"	"EG10281"	"PD01520"			"PD01520"	
"dhaR"	"G6628"			"G6628-MONOMER"	"G6628-MONOMER"	
"ychQ"	"G6630"			"G6630-MONOMER"	"G6630-MONOMER"	"Predicted"
"ychA"	"EG11251"			"EG11251-MONOMER"	"EG11251-MONOMER"	"Predicted"
"narL"	"EG10643"		"PHOSPHO-NARL"		"PHOSPHO-NARL"	
"hns"	"EG10457"			"PD00288"	"PD00288"	
"cysB"	"EG10184"	"CPLX0-2781"			"CPLX0-2781"	
"yciT"	"G6638"			"G6638-MONOMER"	"G6638-MONOMER"	
"puuR"	"EG12431"	"EG12431-MONOMER"			"EG12431-MONOMER"	
"pspF"	"EG12344"			"CPLX0-981"	"CPLX0-981"	"Hexamer"
"pspB"	"EG10777"			"EG10777-MONOMER"	"EG10777-MONOMER"	
"pspC"	"EG10778"			"CPLX0-961"	"CPLX0-961"	"Dimer"
"ycjW"	"G6658"			"G6658-MONOMER"	"G6658-MONOMER"	"Predicted"
"tyrR"	"EG11042"	"MONOMER0-162, MONOMER0-163"			"MONOMER0-162, MONOMER0-163"	"Two different metabolites induce active conformations"
"ycjZ"	"G6664"			"G6664-MONOMER"	"G6664-MONOMER"	
"fnr"	"EG10325"	"FNR-4FE-4S-CPLX"			"FNR-4FE-4S-CPLX"	
"abgR"	"G6671"			"G6671-MONOMER"	"G6671-MONOMER"	"Predicted"
"racR"	"G6680"			"G6680-MONOMER"	"G6680-MONOMER"	
"ydaS"	"G6681"			"G6681-MONOMER"	"G6681-MONOMER"	"Predicted"
"feaR"	"G6706"			"G6706-MONOMER"	"G6706-MONOMER"	
"paaX"	"G6720"	"CPLX0-7731"			"CPLX0-7731"	
"ydcI"	"G6737"			"G6737-MONOMER"	"G6737-MONOMER"	
"ydcN"	"G6745"			"G6745-MONOMER"	"G6745-MONOMER"	
"ydcR"	"G6750"			"G6750-MONOMER"	"G6750-MONOMER"	"Predicted"
"mcbR"	"G6761"			"G6761-MONOMER"	"G6761-MONOMER"	
"yddM"	"G6774"			"G6774-MONOMER"	"G6774-MONOMER"	"Predicted"
"ydeM"	"G6787"			"G6787-MONOMER"	"G6787-MONOMER"	"Predicted"
"ydeO"	"G6789"			"G6789-MONOMER"	"G6789-MONOMER"	
"yneL"	"G6796"			"G6796-MONOMER"	"G6796-MONOMER"	"Predicted"
"hipA"	"EG10443"			"EG10443-MONOMER, CPLX0-7425"	"EG10443-MONOMER, CPLX0-7425"	"Protein: HipAB toxin/antitoxin complex and DNA-binding transcriptional repressor"
"hipB"	"EG10442"			"EG10442-MONOMER, CPLX0-7425"	"EG10442-MONOMER, CPLX0-7425"	
"lsrR"	"G6799"	"CPLX0-8043"			"CPLX0-8043"	
"yneJ"	"G6812"			"G6812-MONOMER"	"G6812-MONOMER"	
"marR"	"EG11435"	"CPLX0-7710"			"CPLX0-7710"	
"marA"	"EG11434"			"PD00365"	"PD00365"	
"ydfH"	"G6814"			"G6814-MONOMER"	"G6814-MONOMER"	
"cspB"	"EG12203"			"EG12203-MONOMER"	"EG12203-MONOMER"	
"relB"	"EG10836"			"CPLX0-7928"	"CPLX0-7928"	"Tetramer"
"dicC"	"EG10228"			"EG10228-MONOMER"	"EG10228-MONOMER"	
"dicA"	"EG10226"			"EG10226-MONOMER"	"EG10226-MONOMER"	
"mlc"	"G6852"	"PD01896"			"PD01896"	
"ynfL"	"G6853"			"G6853-MONOMER"	"G6853-MONOMER"	"Predicted"
"rstA"	"G6864"		"PHOSPHO-RSTA"		"PHOSPHO-RSTA"	
"uidR"	"G6867"			"G6867-MONOMER"	"G6867-MONOMER"	
"malI"	"EG10557"			"PD00361"	"PD00361"	
"slyA"	"G6882"			"G6882-MONOMER"	"G6882-MONOMER"	
"nemR"	"G6889"			"G6889-MONOMER"	"G6889-MONOMER"	
"purR"	"EG10800"	"CPLX-123"			"CPLX-123"	
"ydhB"	"EG12140"			"EG12140-MONOMER"	"EG12140-MONOMER"	
"ydiP"	"G6919"			"G6919-MONOMER"	"G6919-MONOMER"	
"ihfA"	"EG10440"			"PC00027"	"PC00027"	
"chbR"	"EG10143"	"EG10143-MONOMER"			"EG10143-MONOMER"	
"osmE"	"EG10044"			"EG10044-MONOMER"	"EG10044-MONOMER"	"Predicted"
"ydjF"	"G6957"			"G6957-MONOMER"	"G6957-MONOMER"	"Predicted"
"yeaM"	"G6976"			"G6976-MONOMER"	"G6976-MONOMER"	
"dmlR"	"G6985"			"G6985-MONOMER"	"G6985-MONOMER"	
"cspC"	"EG12204"			"EG12204-MONOMER"	"EG12204-MONOMER"	"Predicted"
"kdgR"	"G7003"			"G7003-MONOMER"	"G7003-MONOMER"	
"yebK"	"EG12860"			"EG12860-MONOMER"	"EG12860-MONOMER"	"Predicted"
"flhC"	"EG10319"			"CPLX0-3930"	"CPLX0-3930"	"Add complexation reaction: 4 FlhD + 2 FlhC -> CPLX0-3930"
"flhD"	"EG10320"			"CPLX0-3930"	"CPLX0-3930"	"Add complexation reaction: 4 FlhD + 2 FlhC -> CPLX0-3930"
"uvrY"	"EG11140"		"MONOMER0-1"		"MONOMER0-1"	
"sdiA"	"EG10935"			"PD02198"	"PD02198"	
"fliZ"	"EG11356"			"EG11356-MONOMER"	"EG11356-MONOMER"	
"fliA"	"EG11355"			"EG11355-MONOMER"	"EG11355-MONOMER"	
"rcsA"	"EG10820"			"PD02233"	"PD02233"	
"yedW"	"G7057"			"MONOMER0-4341"	"MONOMER0-4341"	"Add phosporilation (YedW-P)"
