script,directory,tier,runnable_as,registered,status,reads_raw_extraction,subgen_definition_used,description_and_math,output_files
subgen_common.py,cohort,library,imported module (no Plot class),no (library),"created (helper, NOT a runnable Plot)",n/a,DEFINES def5_CI (the only classifier),"Shared library imported by every subgen script. Defines: (1) gene set = protein-coding mRNA cistrons (every cistron with an associated monomer), in cistron order. (2) STRICT successful-lineage filter: for seed s, doubling time T(s,gen)=(time[-1]-time[0])/60 min; n_at_180(s)=#{gen: T>=179.99}; is_successful(s)=completed_all(s) AND n_at_180(s)==0 (divided every generation AND never hit the 180-min length cap). (3) DEFINITION 5, ALWAYS THE CI FORM: lambda(s,g)=mean over lineage s cells of S(c,g), where S(c,g)=Sum_t countRnaCistronSynthesized[t,g]; mean(g)=mean_s lambda; SE(g)=std(lambda,ddof=1)/sqrt(N); CI=mean +/- 1.96*SE; classify_def5_ci/_classify_ci: never_expressed iff mean=0, subgen iff ci_high<1, not_subgen iff ci_low>1, else possibly_subgen. pooled_mean() is reported as a DESCRIPTIVE statistic only -- a point estimate compared against 1 is a diagnostic, never a label. (The old classify_def5_threshold() encoding that rule was REMOVED, along with the unused load_lineage_success().) Also defines: SEED_RANGE (0-128); TIMEPOINTS_TO_SAMPLE + sample_per_seed(n_lineages) for the subsample scripts (divides by lineages ACTUALLY sampled, fixing the /128 bug); CURATED_PANELS / curated_panel() holding the 10-gene and anaerobic monomer panels; PALETTE / CAT_LABEL / CATEGORIES for the 4 def5_CI categories; git_info / load_sim_metadata / sim_metadata_block / write_run_metadata for shared provenance; load_def5_table / load_def5_categories, which read a per-gene def-5 table under EITHER column spelling (category or def5_CI_category; gene_id or gene_name); subsample_seed_timepoints() and collapse_trna_to_aa(); load_lineage_success_rows(); load_raw_* readers and canonical_def5_classification().",none (library; no files written)
subgen_raw_extract.py,cohort,def5_ci,Plot,"yes (ACTIVE, SUBGENERATIONAL)",created,writes it (STEP 1),none (pure data reduction),"Reads each successful cell (gen>=8) simOut ONCE and persists per-cell matrices so all downstream def5/Task-4 analyses avoid re-reading simOut. Per cell/gene computes S(c,g)=Sum_t countRnaCistronSynthesized[t,g], max_t mRNA_cistron_counts, max_t monomerCounts, and the time-weighted fraction of the cell cycle at zero protein. Uses compute_lineage_success for the strict flag. Skips the synth matrix (with warning) if countRnaCistronSynthesized is absent. NOW ALSO persists per-generation doubling times (free -- compute_lineage_success already walked every Main/time). Outputs use the FIXED basename subgen_raw_extract, not plotOutFileName, so consumers can always find them. Run this FIRST: jobs 02 and 04 depend on it.",subgen_raw_extract_synth_per_cell.tsv; subgen_raw_extract_max_mrna_per_cell.tsv; subgen_raw_extract_max_protein_per_cell.tsv; subgen_raw_extract_frac_protein_zero_per_cell.tsv; subgen_raw_extract_lineage_success.tsv; subgen_raw_extract_doubling_times.tsv; subgen_raw_extract_genes.tsv; subgen_raw_extract_run_metadata.json
subgen_definition5_lineage_ci.py,cohort,def5_ci,Plot,"yes (ACTIVE, SUBGENERATIONAL)",refactored onto subgen_common; cross-check added,no (INDEPENDENT simOut pass -- deliberate),def5_CI canonical,"Independent reference implementation of def5_CI computed directly from simOut. lambda(s,g)=mean over lineage cells of S(c,g); mean/std/se/CI across lineages; classify by CI vs 1. Produces both all-lineage and successful-lineage tables plus diagnostic plots. It shares the CLASSIFIER with subgen_common (so the rule cannot drift) but keeps its OWN simOut pass on purpose: that independence is what makes it a cross-check on subgen_raw_extract.py's reduction. _crosscheck_raw_extract() now runs that comparison automatically whenever the raw extraction is present, printing the max |mean difference| and warning loudly on any category disagreement. On sim set 1 the two agree exactly (max difference 0 across all 4309 genes). DO NOT rebase this onto the raw extraction -- the saved pass is not worth losing the check.",<name>_pergene_all.tsv; <name>_pergene_successful.tsv; <name>_lineage_by_gene.tsv; <name>_doubling_times.tsv; <name>_lineage_filter.tsv; <name>_hist_all.png; <name>_hist_successful.png; <name>_all_vs_successful.png; <name>_forest_overlap1.png; <name>_ranked_ci.png; <name>_run_metadata.json
subgenerational_expression_table_def5.py,cohort,def5_ci,Plot,"yes (ACTIVE, SUBGENERATIONAL)",created; column set merged,yes,def5_CI canonical,"THE canonical per-gene table. Classifies each protein-coding gene by def5_CI over successful lineages. Its column set is now the UNION of the two tables that previously held the same classification under different names, and the key columns are emitted under BOTH spellings (gene_name/cistron_name/protein_name/def5_CI_category AND gene_id/cistron_id/protein_id/category), so sc.load_def5_categories() reads this file or subgen_definition5_lineage_ci_pergene_successful.tsv interchangeably -- verified to agree gene-for-gene on all 4309 genes. Added columns: n_lineages, std, se (from the same stats dict) and p_mrna_present_def1 = (max_mrna[is_successful] > 0).mean(axis=0), which reproduces the legacy subgenerational_expression_table.py p_expressed column from the already-loaded max-mRNA matrix -- no extra simOut pass, a clean denominator, and gated on strict-successful lineages, so it is the more correct version of that number. Also reports the pooled def5 mean and Definition-4 probability p_any_synth(g) as descriptive statistics.",<name>.tsv; <name>_subgen.tsv
transcriptFrequency_def5.py,cohort,def5_ci,Plot,"yes (ACTIVE, SUBGENERATIONAL)",created,yes,def5_CI canonical (coloring),"Figure only. Scatter of Definition-4 frequency p_any_synth(g) (y) vs gene rank by def5_CI mean(g) (x), colored by def5_CI category; plus a log-x histogram of mean(g) with a reference line at 1 transcript/gen. Replaces the disabled legacy transcriptFrequency.py.",<name>.pdf (+ .png)
subgen_monomer_dynamics_def5.py,cohort,def5_ci,Plot,"yes (ACTIVE, SUBGENERATIONAL)",created,yes,def5_CI canonical (gene selection),"Figure only. Selects the 12 subgen genes with the largest def5_CI mean(g); reads their mRNA + monomer time-series from simOut and plots per-generation traces, each generation normalized to unit width: x(t)=gen_number+(t-t_start)/(t_end-t_start).",<name>_monomer_dynamics_gen_<seed>.pdf; <name>_mRNA_dynamics_gen_<seed>.pdf (one pair per plotted successful seed)
subgen_per_generation_expression.py,cohort,def5_ci,Plot,"yes (ACTIVE, SUBGENERATIONAL)",created (Task 4),yes,Definition 4 (any completed transcript),"Reads the raw extraction, restricts to strict-successful lineages, and for ALL protein-coding genes flags expressed(c,g)=1[S(c,g)>0] (>=1 completed transcript that generation). Emits two WIDE per-(seed,gen) matrices (one binary expressed, one raw synth_count; one column per gene, header=gene_id) plus per-gene and per-(seed,gen) metric tables. The _expressed matrix is the binary input the standalone uniqueness/operon CLIs consume.",<name>_expressed.tsv; <name>_synth_count.tsv; <name>_metrics.tsv; <name>_per_generation_summary.tsv
subgenerationalTranscription_def5.py,multigen,def5_ci,Plot,"yes (ACTIVE, SUBGENERATIONAL)",REWRITTEN to use cohort def5_CI categories,yes (via the COHORT plotOut),def5_CI canonical (cohort-wide),"Figures 5B/5E/5F/5G, with burn-in, using completed transcripts. NOW LABELS GENES WITH THE CANONICAL COHORT-WIDE def5_CI CATEGORIES read from sc.canonical_def5_classification() -- one level up from this multigen plotOut, since analysisMultigen appends the seed directory. It previously classified by the per-lineage POINT ESTIMATE (mean=0 / 0<mean<1 / mean>=1), which silently disagreed with every table: on sim set 1 that called 1652-1687 genes subgen per lineage where the cohort CI calls 1859 (~230-250 gene disagreement) and inflated never_expressed from 135 to ~330, because one lineage never fires many genes that some lineage does. The point estimate is still PRINTED as a diagnostic but labels nothing. Four categories now, colored from sc.PALETTE. The gene set is intersected with the def-5 gene key (is_mRNA covers ~4345 cistrons vs the 4309 protein-coding ones) and the drop count is printed, so figure and tables cover identical genes. Because categories are cohort-wide, all plotted lineages report the SAME counts -- that identity is the regression test. What still varies per lineage is the frequency scatter and the event raster. Plots the first N_LINEAGES_TO_PLOT=3 STRICT-successful lineages (seed-suffixed filenames) rather than seed 0 unconditionally. REQUIRES subgen_raw_extract.py to have run on the cohort; it now lives in sbatch job 02, not job 03.",<name>_seed<SSSSSS>_5B_top.pdf; <name>_seed<SSSSSS>_5B_bottom.pdf; <name>_seed<SSSSSS>_5E.pdf; <name>_seed<SSSSSS>_5F.pdf; <name>_seed<SSSSSS>_5G.pdf
subgen_set_uniqueness.py,cohort,def5_ci,argparse CLI (no Plot class),NO -- deliberately (was wrongly in ACTIVE),REMOVED from ACTIVE; loader shared,no (reads the tables),def5_CI canonical (category == subgen),"Quantifies whether the SET of subgen genes expressed per cell is unique while the NUMBER is nearly constant: (A) per-cell count distribution vs the Poisson-binomial expectation, (B) distinct-set count and pairwise Jaccard vs an analytic independence null and a fixed-margins (curveball) null, (C) PCA of the cell x gene matrix, (D) population accumulation curve. Gene set from sc.load_def5_categories(pergene, category='subgen'). Was listed in cohort/__init__.py ACTIVE despite having no Plot class -- the parallel runner evaluates mod.Plot OUTSIDE its try/except (analysisBase.py:196), so that entry ABORTED the entire cohort analysis run at -c >1. Now unregistered and driven by sbatch job 04 instead.",<name>_count_hist.png; <name>_jaccard.png; <name>_gene_freq.png; <name>_accumulation.png; <name>_pca.png; <name>_within_between_lineage.png; <name>_summary.json
subgen_set_uniqueness_publication_figures.py,cohort,def5_ci,argparse CLI (no Plot class),NO -- deliberately,loader shared,no (reads the tables),def5_CI canonical (category == subgen),"Publication-ready 'clean' panels of the Figure-3 series in one visual style (editable-text PDF/PNG/SVG): count_distribution (per-cell number of subgen genes expressed, dashed mean line), jaccard (pairwise similarity over all cell pairs), and fig3B_heatmap (genes x cells binary heatmap, rows sorted by frequency, topped by a per-cell %-expressed bar) in black-and-white and color at each --n-cells. Note these three basenames are NOT subgen_-prefixed, unlike the rest of the family. Driven by sbatch job 04.",count_distribution.{pdf/png/svg}; jaccard.{pdf/png/svg}; fig3B_heatmap_bw_<N>cells.{pdf/png/svg}; fig3B_heatmap_color_<N>cells.{pdf/png/svg}
